x_m,y_m
-2.268499701618443851e+03,-3.565584359861735265e+03
-3.053292655403639401e+03,-2.570724359861697849e+03
-2.562797059287543561e+03,-2.460184359861562825e+03
-2.955193536180141564e+03,-2.460184359861562825e+03
-6.989137940508408064e+02,-4.228824359861368066e+03
-4.046164363817409821e+02,-4.118284359861625489e+03
-5.027155556038448481e+02,-4.118284359861625489e+03
-7.970129132729447292e+02,-4.118284359861625489e+03
-1.103190787126411578e+02,-4.007744359861490466e+03
1.839782789564586665e+02,-4.007744359861490466e+03
-6.989137940508408064e+02,-4.007744359861490466e+03
-2.084181979347450522e+02,-3.897204359861747889e+03
-7.970129132729447292e+02,-3.676124359861477842e+03
8.587915973435477213e+01,-3.565584359861735265e+03
-1.189409390165542391e+03,-3.565584359861735265e+03
-2.084181979347450522e+02,-3.565584359861735265e+03
-3.065173171582430314e+02,-3.455044359861600242e+03
-1.287508509389040455e+03,-3.455044359861600242e+03
-1.287508509389040455e+03,-3.344504359861465218e+03
-1.287508509389040455e+03,-3.344504359861465218e+03
-1.189409390165542391e+03,-3.344504359861465218e+03
-5.027155556038448481e+02,-3.344504359861465218e+03
-5.027155556038448481e+02,-3.233964359861722642e+03
-1.221995948914318753e+01,-3.233964359861722642e+03
8.587915973435477213e+01,-3.123424359861587618e+03
-7.970129132729447292e+02,-3.012884359861452594e+03
-7.970129132729447292e+02,-2.902344359861710473e+03
-3.065173171582430314e+02,-2.791804359861574994e+03
-9.932111517199406308e+02,-2.791804359861574994e+03
-6.989137940508408064e+02,-2.681264359861439971e+03
-6.008146748273428557e+02,-2.681264359861439971e+03
-2.084181979347450522e+02,-2.681264359861439971e+03
-5.027155556038448481e+02,-2.460184359861562825e+03
-5.027155556038448481e+02,-2.239104359861685225e+03
-1.483706747834642329e+03,-2.239104359861685225e+03
-5.027155556038448481e+02,-2.239104359861685225e+03
-1.385607628611144264e+03,-2.239104359861685225e+03
-1.189409390165542391e+03,-2.239104359861685225e+03
1.263068590410754041e+03,-3.897204359861747889e+03
1.164969471187256204e+03,-3.565584359861735265e+03
8.706721135181562659e+02,-3.344504359861465218e+03
6.744738750725543923e+02,-3.233964359861722642e+03
1.066870351963758139e+03,-2.902344359861710473e+03
1.164969471187256204e+03,-2.681264359861439971e+03
2.820773981799566172e+02,-2.570724359861697849e+03
1.164969471187256204e+03,-2.570724359861697849e+03
1.066870351963758139e+03,-2.239104359861685225e+03
2.342158901863655501e+03,-3.123424359861587618e+03
3.323150094094452470e+03,-2.902344359861710473e+03
2.636456259532755212e+03,-2.570724359861697849e+03
2.538357140309257375e+03,-2.570724359861697849e+03
2.145960663418053628e+03,-2.349644359861427347e+03
2.047861544194555563e+03,-2.349644359861427347e+03
3.813645690209154054e+03,-3.897204359861747889e+03
4.598438643992955804e+03,-3.565584359861735265e+03
4.304141286323855638e+03,-3.455044359861600242e+03
4.206042167101752057e+03,-3.344504359861465218e+03
4.009843928654755928e+03,-3.344504359861465218e+03
3.911744809432652346e+03,-3.233964359861722642e+03
4.598438643992955804e+03,-2.791804359861574994e+03
-4.230482086080038243e+03,-1.796944359861537578e+03
-4.622878562971241990e+03,-1.354784359861389930e+03
-5.015275039863839993e+03,-1.354784359861389930e+03
-4.819076801416843409e+03,-1.133704359861512330e+03
-4.720977682194739828e+03,-8.020843598614998200e+02
-3.739986489963942859e+03,-6.915443598613646827e+02
-4.622878562971241990e+03,-3.599243598617448470e+02
-2.857094416956643272e+03,-2.239104359861685225e+03
-2.464697940065439980e+03,-2.128564359861550201e+03
-2.366598820841941688e+03,-2.018024359861414951e+03
-2.268499701618443851e+03,-2.018024359861414951e+03
-2.268499701618443851e+03,-2.018024359861414951e+03
-1.876103224727239876e+03,-1.907484359861672601e+03
-1.581805867058140166e+03,-1.907484359861672601e+03
-2.660896178511041398e+03,-1.907484359861672601e+03
-2.366598820841941688e+03,-1.907484359861672601e+03
-1.679904986280243975e+03,-1.907484359861672601e+03
-2.758995297734539690e+03,-1.796944359861537578e+03
-1.974202343949343913e+03,-1.796944359861537578e+03
-2.857094416956643272e+03,-1.796944359861537578e+03
-1.778004105503742267e+03,-1.575864359861659977e+03
-1.679904986280243975e+03,-1.575864359861659977e+03
-1.876103224727239876e+03,-1.575864359861659977e+03
-1.876103224727239876e+03,-1.575864359861659977e+03
-1.581805867058140166e+03,-1.575864359861659977e+03
-1.189409390165542391e+03,-2.018024359861414951e+03
-1.091310270942044554e+03,-2.018024359861414951e+03
-6.008146748273428557e+02,-2.018024359861414951e+03
-6.008146748273428557e+02,-1.907484359861672601e+03
-6.008146748273428557e+02,-1.907484359861672601e+03
-7.970129132729447292e+02,-1.907484359861672601e+03
-1.189409390165542391e+03,-1.796944359861537578e+03
-1.103190787126411578e+02,-1.686404359861402327e+03
-1.091310270942044554e+03,-1.686404359861402327e+03
-4.046164363817409821e+02,-1.686404359861402327e+03
-1.287508509389040455e+03,-1.686404359861402327e+03
-4.046164363817409821e+02,-1.575864359861659977e+03
-3.065173171582430314e+02,-1.575864359861659977e+03
-1.385607628611144264e+03,-1.575864359861659977e+03
1.263068590410754041e+03,-2.239104359861685225e+03
1.655465067301957788e+03,-1.907484359861672601e+03
8.706721135181562659e+02,-1.796944359861537578e+03
8.706721135181562659e+02,-1.796944359861537578e+03
1.459266828856355914e+03,-1.796944359861537578e+03
1.459266828856355914e+03,-1.796944359861537578e+03
3.801765174034545680e+02,-1.686404359861402327e+03
6.744738750725543923e+02,-1.686404359861402327e+03
2.820773981799566172e+02,-1.686404359861402327e+03
1.361167709632857850e+03,-1.575864359861659977e+03
8.706721135181562659e+02,-1.465324359861524954e+03
1.066870351963758139e+03,-1.465324359861524954e+03
3.617447451763552635e+03,-1.796944359861537578e+03
2.734555378756253049e+03,-1.796944359861537578e+03
3.519348332540054798e+03,-1.354784359861389930e+03
3.028852736425353214e+03,-1.244244359861647354e+03
3.519348332540054798e+03,-1.244244359861647354e+03
3.126951855647457251e+03,-1.244244359861647354e+03
3.421249213316556506e+03,-1.244244359861647354e+03
3.323150094094452470e+03,-1.133704359861512330e+03
3.225050974870954633e+03,-9.126243598616348436e+02
2.047861544194555563e+03,-9.126243598616348436e+02
2.930753617201854922e+03,-9.126243598616348436e+02
2.047861544194555563e+03,-9.126243598616348436e+02
2.440258021087153338e+03,-8.020843598614998200e+02
2.440258021087153338e+03,-8.020843598614998200e+02
2.734555378756253049e+03,-8.020843598614998200e+02
2.636456259532755212e+03,-8.020843598614998200e+02
2.538357140309257375e+03,-8.020843598614998200e+02
4.500339524770852222e+03,-1.796944359861537578e+03
4.500339524770852222e+03,-1.686404359861402327e+03
3.813645690209154054e+03,-1.465324359861524954e+03
4.009843928654755928e+03,-1.133704359861512330e+03
3.813645690209154054e+03,-5.810043598616223335e+02
3.715546570985657127e+03,-4.704643598614871962e+02
-4.720977682194739828e+03,-1.388443598614746577e+02
-3.838085609187440241e+03,3.033156401382802869e+02
-3.838085609187440241e+03,4.138556401384153673e+02
-5.015275039863839993e+03,5.243956401385504478e+02
-4.230482086080038243e+03,6.349356401382929107e+02
-3.445689132294843148e+03,1.298175640138317931e+03
-1.679904986280243975e+03,-1.388443598614746577e+02
-2.268499701618443851e+03,-1.388443598614746577e+02
-1.581805867058140166e+03,-1.388443598614746577e+02
-2.366598820841941688e+03,-2.830435986173228002e+01
-3.151391774625743437e+03,-2.830435986173228002e+01
-1.778004105503742267e+03,-2.830435986173228002e+01
-2.366598820841941688e+03,-2.830435986173228002e+01
-1.876103224727239876e+03,8.223564013840281461e+01
-1.385607628611144264e+03,-2.493843598616097665e+02
8.587915973435477213e+01,-2.493843598616097665e+02
-1.483706747834642329e+03,-2.493843598616097665e+02
-1.483706747834642329e+03,-2.830435986173228002e+01
-6.989137940508408064e+02,-2.830435986173228002e+01
-1.287508509389040455e+03,8.223564013840281461e+01
-3.065173171582430314e+02,1.927756401385379093e+02
-1.581805867058140166e+03,1.927756401385379093e+02
-1.483706747834642329e+03,1.927756401385379093e+02
-4.046164363817409821e+02,1.927756401385379093e+02
-5.027155556038448481e+02,3.033156401382802869e+02
8.587915973435477213e+01,3.033156401382802869e+02
-1.221995948914318753e+01,3.033156401382802869e+02
-1.581805867058140166e+03,4.138556401384153673e+02
-1.103190787126411578e+02,4.138556401384153673e+02
-2.084181979347450522e+02,4.138556401384153673e+02
1.263068590410754041e+03,-2.493843598616097665e+02
1.459266828856355914e+03,-2.493843598616097665e+02
1.263068590410754041e+03,-2.493843598616097665e+02
1.164969471187256204e+03,-1.388443598614746577e+02
3.801765174034545680e+02,-1.388443598614746577e+02
1.459266828856355914e+03,-1.388443598614746577e+02
1.164969471187256204e+03,-1.388443598614746577e+02
7.725729942946583151e+02,-1.388443598614746577e+02
1.557365948079853979e+03,-1.388443598614746577e+02
1.557365948079853979e+03,-1.388443598614746577e+02
1.164969471187256204e+03,-2.830435986173228002e+01
1.164969471187256204e+03,-2.830435986173228002e+01
1.851663305748953690e+03,-2.830435986173228002e+01
1.361167709632857850e+03,-2.830435986173228002e+01
1.839782789564586665e+02,-2.830435986173228002e+01
1.753564186525455625e+03,-2.830435986173228002e+01
6.744738750725543923e+02,-2.830435986173228002e+01
2.930753617201854922e+03,-2.493843598616097665e+02
2.636456259532755212e+03,-2.830435986173228002e+01
2.342158901863655501e+03,-2.830435986173228002e+01
2.538357140309257375e+03,-2.830435986173228002e+01
2.636456259532755212e+03,8.223564013840281461e+01
2.342158901863655501e+03,8.223564013840281461e+01
2.047861544194555563e+03,1.927756401385379093e+02
2.244059782640157209e+03,1.927756401385379093e+02
2.538357140309257375e+03,1.927756401385379093e+02
2.440258021087153338e+03,3.033156401382802869e+02
2.636456259532755212e+03,3.033156401382802869e+02
2.832654497978357085e+03,3.033156401382802869e+02
2.538357140309257375e+03,3.033156401382802869e+02
1.949762424971057499e+03,3.033156401382802869e+02
1.949762424971057499e+03,3.033156401382802869e+02
2.145960663418053628e+03,4.138556401384153673e+02
2.145960663418053628e+03,4.138556401384153673e+02
2.734555378756253049e+03,4.138556401384153673e+02
2.734555378756253049e+03,5.243956401385504478e+02
2.930753617201854922e+03,5.243956401385504478e+02
2.342158901863655501e+03,6.349356401382929107e+02
3.028852736425353214e+03,6.349356401382929107e+02
2.440258021087153338e+03,6.349356401382929107e+02
-3.739986489963942859e+03,1.961415640138343178e+03
-4.524779443747745063e+03,2.182495640138613453e+03
-3.936184728410938533e+03,2.293035640138355575e+03
-3.739986489963942859e+03,2.845735640138638246e+03
-3.838085609187440241e+03,3.508975640138271046e+03
-2.857094416956643272e+03,1.850875640138600829e+03
-3.053292655403639401e+03,1.850875640138600829e+03
-3.151391774625743437e+03,2.182495640138613453e+03
-3.151391774625743437e+03,2.293035640138355575e+03
-1.778004105503742267e+03,2.735195640138503222e+03
-2.758995297734539690e+03,2.956275640138380822e+03
-2.955193536180141564e+03,3.066815640138515846e+03
-1.876103224727239876e+03,3.066815640138515846e+03
-2.170400582396339814e+03,3.508975640138271046e+03
-1.103190787126411578e+02,1.740335640138465578e+03
1.839782789564586665e+02,1.850875640138600829e+03
-1.103190787126411578e+02,1.961415640138343178e+03
-9.932111517199406308e+02,1.961415640138343178e+03
-7.970129132729447292e+02,1.961415640138343178e+03
-1.103190787126411578e+02,2.071955640138478429e+03
-2.084181979347450522e+02,2.071955640138478429e+03
-2.084181979347450522e+02,2.071955640138478429e+03
-2.084181979347450522e+02,2.182495640138613453e+03
-1.483706747834642329e+03,2.182495640138613453e+03
-1.091310270942044554e+03,2.293035640138355575e+03
-6.008146748273428557e+02,2.293035640138355575e+03
-6.989137940508408064e+02,2.514115640138626077e+03
4.782756366255584908e+02,1.740335640138465578e+03
6.744738750725543923e+02,1.740335640138465578e+03
8.706721135181562659e+02,1.740335640138465578e+03
8.706721135181562659e+02,1.740335640138465578e+03
1.361167709632857850e+03,1.740335640138465578e+03
2.820773981799566172e+02,1.740335640138465578e+03
8.706721135181562659e+02,1.850875640138600829e+03
2.820773981799566172e+02,1.850875640138600829e+03
8.706721135181562659e+02,1.961415640138343178e+03
1.361167709632857850e+03,1.961415640138343178e+03
1.949762424971057499e+03,1.961415640138343178e+03
2.820773981799566172e+02,1.961415640138343178e+03
1.459266828856355914e+03,2.071955640138478429e+03
8.706721135181562659e+02,2.071955640138478429e+03
2.930753617201854922e+03,2.293035640138355575e+03
2.832654497978357085e+03,2.403575640138490598e+03
3.225050974870954633e+03,2.624655640138368199e+03
3.225050974870954633e+03,3.508975640138271046e+03
3.715546570985657127e+03,2.071955640138478429e+03
-4.524779443747745063e+03,4.614375640138443487e+03
-3.936184728410938533e+03,4.724915640138578965e+03
-4.720977682194739828e+03,4.835455640138321542e+03
-4.132382966856540406e+03,5.056535640138591589e+03
-3.347590013072739112e+03,4.614375640138443487e+03
-1.581805867058140166e+03,5.167075640138333256e+03
-1.581805867058140166e+03,5.167075640138333256e+03
-3.151391774625743437e+03,5.388155640138604213e+03
-2.072301463172841522e+03,5.609235640138481358e+03
1.839782789564586665e+02,3.951135640138418694e+03
-1.221995948914318753e+01,3.951135640138418694e+03
-6.008146748273428557e+02,4.061675640138553717e+03
-2.084181979347450522e+02,4.172215640138296294e+03
-2.084181979347450522e+02,4.282755640138430863e+03
-6.008146748273428557e+02,4.393295640138566341e+03
-1.385607628611144264e+03,4.503835640138308918e+03
-2.084181979347450522e+02,4.503835640138308918e+03
-2.084181979347450522e+02,4.503835640138308918e+03
1.839782789564586665e+02,5.056535640138591589e+03
-1.221995948914318753e+01,5.167075640138333256e+03
-1.221995948914318753e+01,5.388155640138604213e+03
-1.221995948914318753e+01,5.498695640138345880e+03
-1.103190787126411578e+02,5.609235640138481358e+03
1.839782789564586665e+02,3.730055640138541094e+03
6.744738750725543923e+02,3.730055640138541094e+03
1.839782789564586665e+02,3.840595640138283215e+03
1.851663305748953690e+03,3.840595640138283215e+03
6.744738750725543923e+02,3.951135640138418694e+03
6.744738750725543923e+02,4.172215640138296294e+03
2.820773981799566172e+02,4.172215640138296294e+03
3.421249213316556506e+03,3.951135640138418694e+03
3.028852736425353214e+03,4.282755640138430863e+03
3.028852736425353214e+03,4.393295640138566341e+03
-2.464697940065439980e+03,6.161935640138371127e+03
-2.562797059287543561e+03,6.272475640138506606e+03
-2.758995297734539690e+03,6.493555640138383751e+03
-2.084181979347450522e+02,6.161935640138371127e+03
-2.084181979347450522e+02,6.161935640138371127e+03
1.839782789564586665e+02,6.714635640138261806e+03
